,sum_sq,df,Mean Square,F,P
Regression,45947.446215547534,5.0,9189.489243109507,26.946895062568814,5.67535941042044e-21
Residual,70932.61610024486,208.0,341.0221927896388,,
Total,116880.0623157924,213.0,,,
