,GDP,Loans,Imports,GNP,Workeroutput,GovernmentExpenditure,PersonalDisposableIncome,RentalVacancyRate,CPI,BondYield,EmploymentRate,UnemploymentRate,Deficit,MedianEarnings,TEDSpread,ManufacturingOutput
count,290.0,291.0,290.0,290.0,290.0,290.0,287.0,255.0,238.0,239.0,239.0,239.0,215.0,164.0,136.0,130.0
mean,3.2089655172413796,7.265635738831618,6.992413793103447,6.498275862068965,2.2000000000000006,2.8093103448275873,3.3763066202090566,7.352549019607841,0.9166037235813339,6.066945606694561,75.15118880712488,6.056172006525047,57.602370790697684,328.9085365853659,0.5648166706692896,1.8030769230769226
std,3.840224496778547,9.413111977154127,17.15660044385602,4.680072285962844,3.6314085459614236,7.508367849141656,2.075446607104609,1.5110561607739195,0.8136389630223259,2.8650776842204677,4.801811323664869,1.6613862112549465,23.599204325201505,12.727832419177972,0.40282598488458593,4.983491171618833
min,-10.0,-27.5,-38.2,-9.1,-11.7,-12.9,-2.6,5.0,-2.82852942920165,1.56333333333333,64.2374071021663,3.18593086907493,30.60333,309.0,0.14704918032786884,-21.1
max,16.7,38.0,131.7,27.2,17.9,65.0,9.6,11.1,3.95083406496929,14.8466666666667,81.8789263062028,11.3669160310361,105.46297,362.0,2.4467213114754096,10.2
Skewness Statistic,0.13436555115404958,-0.20973959048668234,2.184014537501468,0.4926834501961909,0.40182206940836884,4.074059191085249,0.1418414269781664,0.2940687024942521,0.6094256546184588,0.7718825785939414,-0.5644027191375419,0.7002786731228023,0.7592146233567839,0.2834398550435976,1.7730307243555614,-1.6236711841512863
Skewness standard error,0.143,0.143,0.143,0.143,0.143,0.143,0.144,0.153,0.158,0.157,0.157,0.157,0.166,0.19,0.208,0.212
Kurtosis Statistic,1.64847574789307,1.2341856614995494,13.651971379879903,2.614911541891638,1.6862571732604095,27.04733432487253,0.5357971027509212,-0.6986627068020215,3.142422297230068,0.36296925438453576,-0.9843372993271458,0.03888909941250995,-0.5524753655260892,-0.7536001507199357,4.089550188867369,5.390853238826034
Kurtosis standard error,0.285,0.285,0.285,0.285,0.285,0.285,0.287,0.304,0.314,0.314,0.314,0.314,0.33,0.377,0.413,0.422
