	GDP	Loans	Imports	GNP	Workeroutput	GovernmentExpenditure	PersonalDisposableIncome	RentalVacancyRate	CPI	BondYield	EmploymentRate	UnemploymentRate	Deficit	MedianEarnings	TEDSpread	ManufacturingOutput
count	290.0	291.0	290.0	290.0	290.0	290.0	287.0	255.0	238.0	239.0	239.0	239.0	215.0	164.0	136.0	130.0
mean	3.2089655172413796	7.265635738831618	6.992413793103447	6.498275862068965	2.2000000000000006	2.8093103448275873	3.3763066202090566	7.352549019607841	0.9166037235813339	6.066945606694561	75.15118880712488	6.056172006525047	57.602370790697684	328.9085365853659	0.5648166706692896	1.8030769230769226
std	3.840224496778547	9.413111977154127	17.15660044385602	4.680072285962844	3.6314085459614236	7.508367849141656	2.075446607104609	1.5110561607739195	0.8136389630223259	2.8650776842204677	4.801811323664869	1.6613862112549465	23.599204325201505	12.727832419177972	0.40282598488458593	4.983491171618833
min	-10.0	-27.5	-38.2	-9.1	-11.7	-12.9	-2.6	5.0	-2.82852942920165	1.56333333333333	64.2374071021663	3.18593086907493	30.60333	309.0	0.14704918032786884	-21.1
25%	1.225	2.6	-0.6499999999999999	4.025	0.2	-0.4	2.2	6.0	0.411873720255376	3.9983333333333353	70.52260956914864	4.875194740494756	35.690295000000006	315.75	0.26696135831381734	-0.1
50%	3.1	7.8	5.55	5.9	1.85	1.9	3.4	7.4	0.8081898897883115	5.77	76.1635202787706	5.68201237320633	56.03613	330.5	0.47451612903225804	2.2
75%	5.1	12.1	13.375	8.5	3.9	4.5	4.5	8.25	1.21399531210318	7.691666666666665	79.3014538392078	7.112321762491581	64.325685	337.0	0.6953867001586462	4.45
max	16.7	38.0	131.7	27.2	17.9	65.0	9.6	11.1	3.95083406496929	14.8466666666667	81.8789263062028	11.3669160310361	105.46297	362.0	2.4467213114754096	10.2
