,sum_sq,df,Mean Square,F,P
Regression,45160.594330076165,7.0,6451.513475725166,253.00604166117267,1.8299799261045496e-69
Residual,3110.9322088542817,122.0,25.49944433487116,,
Total,48271.52653893045,129.0,,,
