,coef,std err,t,sig.,standardized_coef_beta
Constant,  410.1345,   29.145,   14.072, 0.000, 
GDP,   -0.6142,    0.277,   -2.220, 0.028,-0.09994683945350533
Loans,    0.2177,    0.057,    3.829, 0.000,0.08683489702396803
RentalVacancyRate,   -7.1712,    0.408,  -17.587, 0.000,-0.45917166489253686
BondYield,   -5.6287,    0.379,  -14.866, 0.000,-0.683356207223908
EmploymentRate,   -4.2051,    0.329,  -12.786, 0.000,-0.8556261693780951
MedianEarnings,    0.2415,    0.060,    4.048, 0.000,0.13024894767104545
ManufacturingOutput,    0.5214,    0.129,    4.051, 0.000,0.11010508070847311
