,sum_sq,df,Mean Square,F,P
Regression,44152.44323915713,15.0,2943.4962159438087,110.87150302953928,3.299326354717713e-60
Residual,3000.005080773843,113.0,26.548717528972062,,
Total,47152.448319930976,128.0,,,
