,df,sum_sq,mean_sq,F,sig.
Corrected Model,3.0,8588.889802983322,2862.9632676611072,47.53720757851359,1.1102230246251565e-16
Hyperten,1.0,1651.0306317564496,1651.0306317564496,27.414038715351477,1.7184181783393862e-07
Sex,1.0,6911.345288263963,6911.345288263963,114.75734227054576,1.8703731580028276e-26
Hyperten * Sex,1.0,26.51388296940735,26.51388296940735,0.4402417497514076,0.5070403218120568
Error,4430.0,266800.0061802385,60.22573502939921,,
Corrected Total,,,,,
