,coef,std err,t,sig.,standardized_coef_beta
Constant,   95.7254,    6.369,   15.031, 0.000, 
GDP,    0.1445,    0.440,    0.328, 0.743,0.02351403175029554
GovernmentExpenditure,   -1.1102,    0.359,   -3.092, 0.002,-0.35322334902686986
PersonalDisposableIncome,   -3.6792,    0.799,   -4.607, 0.000,-0.3235695174987251
CPI,  -15.9881,    1.539,  -10.392, 0.000,-0.5512279535122069
UnemploymentRate,   -1.5918,    0.788,   -2.021, 0.045,-0.11206287019819015
